Year,Population (England),d/day,silver purity,penny weight in g,Ag per penny g,£/kg,g. Ag/day,bread d/lb,Cost in d for 2500 Kcal,Minutes Req,Cost in Silver for 2500 Kcal Bread,min per g Ag,60 min labour in silver,60 min labour in bread
1644,5271655.478935627,9.625361284320723,0.9299999776178367,0.518000089483797,0.48000001555905847,8.69999848137271,4.602446006422084,1.4191702432360094,2.9566046736108147,147.81617163746535,1.419596436777115,104.03171430429904,0.5749256189030809,0.5043277090047662
1645,5283326.231536735,9.704115719650078,0.9299999811323859,0.5180001271765002,0.4800000298266751,8.699997910215295,4.631499974555494,1.4097498868804546,2.9369789311625727,145.5908056708162,1.4093308408293996,103.143570637717,0.579003426452277,0.49969785274292516
1646,5293170.885614902,9.784940897407425,0.9299999861563442,0.5180001546950833,0.48000004170815774,8.699997506240653,4.662033944724463,1.400429539574463,2.9175615409013242,143.35817525050172,1.3991187776153324,102.2439413201176,0.5831609598852909,0.4950921682616501
1647,5300960.589500312,9.86494191432109,0.9299999905550848,0.5180001557367249,0.48000004466623153,8.699997513231802,4.6941509323533985,1.3921943772334222,2.9004049526544424,141.2827794732629,1.3900796619253588,101.3797695975462,0.5873393839565703,0.49281954074672
1648,5306695.343192967,9.944118770391078,0.9299999943286078,0.518000130301425,0.48000003870089664,8.699997931188747,4.727850937442301,1.3850443998573316,2.8855091664219295,139.36461833909965,1.3822134937594792,100.55105547000282,0.5915386986661149,0.4928799701981351
1649,5310375.146692863,10.022471465617379,0.9299999974769129,0.5180000783891833,0.4800000238121528,8.699998760111479,4.763133959991168,1.378979607446191,2.872874182203781,137.60369184801206,1.375520273117693,99.75779893748741,0.5957589040139248,0.4952734566158951
1650,5312000.0,10.1,0.93,0.518,0.48,8.7,4.8,1.374,2.8625,136.0,1.37,99.0,0.6,0.5
1651,5311569.903114384,10.17670437353894,0.9300000018978698,0.5179998951338753,0.4799999672644386,8.700001650854315,4.838449057468798,1.3701055775187603,2.8543866198105863,134.5535427950636,1.3656526744064013,98.27765865754061,0.6042619866243407,0.5070596003504502
1652,5309084.856036009,10.252584586234198,0.9300000031705218,0.517999763790809,0.4799999256054683,8.70000371267442,4.878481132397563,1.3672963400024707,2.8485340416355394,133.2643202332028,1.3624782963368964,97.59077491010923,0.6085448638869466,0.5164522576672452
1653,5304544.858764875,10.32764063808577,0.9300000038179557,0.5179996059708009,0.47999987502308905,8.700006185460312,4.920096224786292,1.3655722874511305,2.8449422654748586,132.13233231441754,1.3604768657914843,96.9393487577058,0.6128486317878178,0.5281779719503851
1654,5297949.911300985,10.401872529093666,0.9300000038401722,0.5179994216738514,0.4799998155173011,8.700009069212,4.963294334634987,1.364933419864741,2.8436112913285454,131.15757903870795,1.3596483827701664,96.32338020033042,0.6171732903269544,0.54223674319987
1655,5289300.013644339,10.475280259257879,0.9300000032371709,0.5179992108999603,0.47999974708810433,8.700012363929478,5.008075461943648,1.3653797372433019,2.844541119196599,130.34006040607397,1.3599928472729421,95.74286923798303,0.6215188395043564,0.5586285714157002
1656,5279826.114896145,10.538665568681461,0.930000002375196,0.5179990632540724,0.4799996988918592,8.700014669532594,5.048210552296817,1.3661556756423985,2.846157657528924,129.69533694095406,1.3607378839938826,95.262928736597,0.6253428815214097,0.5743301139182742
1657,5270759.164157613,10.582830197467462,0.9300000016204913,0.5179990683411324,0.47999970008492615,8.700014585941208,5.077470551279037,1.366505671117617,2.846886814775427,129.2389691677867,1.3611111176270585,94.94867156210566,0.6281030185795008,0.5863180280279912
1658,5262099.161428747,10.60777414561589,0.9300000009730575,0.5179992261611405,0.47999975066730544,8.700012113155315,5.095855458890308,1.3664297236689567,2.846728590936108,128.97095708657196,1.3611125481724704,94.80009771450908,0.6297992506786297,0.5945923137448513
1659,5253846.106709543,10.613497413126735,0.9300000004328938,0.5179995367140963,0.47999985063899664,8.700007251174911,5.1033652751306295,1.3659278332964178,2.845682986010966,128.8913006973097,1.3607421756301177,94.81720719380719,0.6304315778187962,0.5991529710688542
1660,5246000.0,10.6,0.93,0.518,0.48,8.7,5.1,1.365,2.84375,129.0,1.36,95.0,0.63,0.6
1661,5238560.841300122,10.567281906235689,0.9299999996743775,0.5180006160188518,0.4800001987503155,8.699990359630585,5.085759633498423,1.3636462237797042,2.8409296329032125,129.2970549946429,1.3588860212821188,95.34847613308754,0.628504517222242,0.597133400538289
1662,5231528.630609909,10.515343131833799,0.9299999994560249,0.5180013847706515,0.48000044688994314,8.699978330066662,5.060644175625896,1.36186650463553,2.837221884720602,129.78246568123836,1.3574002394764726,95.8626355930698,0.6259451294855214,0.5905531726837209
1663,5224903.367929354,10.444183676794326,0.9299999993449426,0.518002306255399,0.4800007444188828,8.699963911308227,5.024653626382417,1.3596608425674765,2.8326267554521687,130.45623205978632,1.355542654583062,96.54247837994673,0.6223218367898382,0.5802593164362955
1664,5218685.053258466,10.353803541117278,0.9299999993411308,0.5180033804730946,0.48000109133713464,8.69994710335529,4.977787985767991,1.357029237575545,2.8271442450979123,131.31835413028685,1.3533132666018872,97.3880044937184,0.6176346391351929,0.5662518317960133
1665,5212873.686597241,10.244202724802651,0.9299999994445894,0.5180046074237381,0.48000148764469863,8.699927906207845,4.920047253782616,1.3539716896597351,2.8207743536578342,132.36883189273996,1.350712075532948,98.39921393438479,0.6118835365215853,0.5485307187628741
1666,5207592.425008236,10.13266569050381,0.9299999995924809,0.5180054657804825,0.48000176494068675,8.699914476563771,4.860702741494631,1.3492364065711462,2.810909180605129,133.26980310377385,1.3464539184213729,99.4184862603004,0.6059817509862507,0.5309271482287049
1667,5202964.425554009,10.036476900874126,0.9299999997219677,0.5180054342164808,0.4800017548242109,8.69991497112095,4.809025759972377,1.3415715960608783,2.7949408254129926,133.68340552001683,1.3392536323122906,100.2882010298197,0.600842504566425,0.5172722910853329
1668,5198989.688234562,9.955636355913597,0.9299999998330502,0.5180045127317334,0.4800014572952713,8.699929389879385,4.765016309215855,1.3309772581289316,2.7728692880814267,133.60963914146888,1.3291112172057014,101.00835824294279,0.596465797262108,0.5075661473327583
1669,5195668.213049891,9.890144055622223,0.9299999999257276,0.5180027013262397,0.4800008723538677,8.699957732839067,4.728674389225063,1.3174533927753054,2.744694568610429,133.04850396812992,1.3160266731016044,101.57895789966953,0.5928516290732997,0.5018087169709806
1670,5193000.0,9.84,0.93,0.518,0.48,8.7,4.7,1.301,2.710416667,132.0,1.3,102.0,0.59,0.5
1671,5190985.049084888,9.805204189046934,0.9300000000558682,0.5179964087530144,0.4799988402336687,8.700056191362187,4.678993141540671,1.2816170798030162,2.6700355832501415,130.4641272370792,1.2810311979008888,102.2714845439342,0.5879109100422091,0.5021399964198169
1672,5189623.360304554,9.785756622763024,0.9300000000933317,0.5179919275852827,0.47999739305487343,8.700126306925625,4.665653813847072,1.259304632184353,2.623551317360852,128.44088567936743,1.2591202668042702,102.39341153147214,0.5865843591999269,0.5082287062304308
1673,5188914.933658997,9.781657301148265,0.9300000001123901,0.5179865564968048,0.4799956584636139,8.700210346690314,4.659982016919203,1.2340626571440103,2.5709638693321306,125.93027532686466,1.234267206710144,102.36578096261374,0.5860203474731531,0.5182661294318418
